price,maximum_nights,availability_30,availability_365,number_of_reviews,instant_bookable,reviews_per_month,has_private_entrance,has_self_checkin,has_kitchen,has_bathtub,has_host_greeting,has_dishwasher,has_longterm,has_fireplace,has_parking,combine_beds_bedrooms_acommodates,general_score,nightly_price,host_active_years,review_count,room_type_1,room_type_2,room_type_3,minimum_nights_2.0,minimum_nights_3.0,minimum_nights_4.0,minimum_nights_5.0,minimum_nights_6.0,minimum_nights_7.0,minimum_nights_8.0,minimum_nights_8.5,property_type_category_Entire condo,property_type_category_Entire home,property_type_category_Entire rental unit,property_type_category_Other,property_type_category_Private Rooms,property_type_category_Room in,property_type_category_Shared Rooms,bathroom_count_1.0,bathroom_count_1.5,bathroom_count_2.0,bathroom_count_2.25,price_range_Low,price_range_Medium,price_range_High,price_range_Very High,location_cluster_1,location_cluster_2,location_cluster_3,location_cluster_4,location_cluster_5,location_cluster_6,location_cluster_7,location_cluster_8,location_cluster_9
180.0,-0.7853035852275336,2.1429692641059757,1.9468089236519863,-0.7473183849506814,0,-0.9161821980867623,1,0,0,0,1,0,0,0,1,0.37444164233964256,-2.527509448066441,90.0,1.3086693078664022,-0.8228741321441287,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
195.0,0.03407933116746778,0.32683076148920065,1.2895835889644254,2.1710392673004435,0,0.5496091822901568,0,0,1,0,1,0,0,0,0,0.032467953414692066,0.559759536725306,65.0,1.3086693078664022,1.910033516506008,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
175.0,-0.7576061345324914,-0.7907929324288148,-0.36698437791929006,0.9252925679813068,0,-0.43262215507581986,1,0,1,0,0,1,0,0,0,0.37444164233964256,-1.8890060898481473,58.333333333333336,1.3086693078664022,0.6623332533891879,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
110.0,-0.7391411674024632,-0.7907929324288148,0.3892749113102322,2.1710392673004435,0,1.5016180169679498,1,0,0,0,1,0,0,0,0,-0.6514794244352089,-0.10680990317290984,55.0,1.3086693078664022,2.1266262602296164,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
120.0,-0.7391411674024632,-0.7907929324288148,0.35326256420406443,2.0577895673623403,0,-0.0548408714735212,1,0,1,0,0,0,0,0,0,-0.9934531133601594,-1.3487340175095923,60.0,1.6264318248223422,1.6794023542077205,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
300.0,-0.7391411674024632,-0.7907929324288148,0.18220391544976774,-0.2768965544385597,0,-0.7801809359899348,0,1,1,0,0,0,0,0,0,-0.6514794244352089,-1.1171888436502089,100.0,1.3086693078664022,-0.4051595549628835,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
90.0,-0.7391411674024632,-0.5113870089493109,0.3982779980867741,2.1710392673004435,0,1.0936142306774672,0,0,0,1,1,0,0,0,0,0.032467953414692066,0.12473527068646731,22.5,1.3086693078664022,2.0338007986337843,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
149.0,-0.7368330465112096,-0.7907929324288148,-1.0962344068191865,2.1710392673004435,0,2.211846830140271,1,1,0,0,0,0,1,0,0,-0.6514794244352089,0.18086743404631725,74.5,1.3086693078664022,2.288211323007547,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
275.0,-0.7437574091849701,0.7459396467084564,-0.5830584605562964,-0.555665046593891,0,-0.8632928183824403,0,0,1,0,1,1,0,0,0,0.37444164233964256,-1.7206095997685973,39.285714285714285,1.3086693078664022,-0.6532671158949538,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
200.0,-0.7968441896838012,-0.7907929324288148,-1.0962344068191865,-0.4859729235550582,0,-0.8255146900222107,0,0,1,0,1,0,0,0,0,-0.9934531133601594,0.7702551493247448,66.66666666666667,1.3086693078664022,-0.5873724980954431,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
389.0,-0.6006539139272516,-0.6510899706890628,0.8034169030311611,2.1710392673004435,0,1.2296154927742944,0,1,1,0,0,0,0,0,0,3.110231153739247,-1.0680732007103426,129.66666666666666,1.3086693078664022,2.0647426191657283,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
